CODIGO_MESA_2019,CODIGO_CIRCUITO_2017
0100200748X,01002000025
0100200749X,01002000025
0100200750X,01002000025
0100200751X,01002000025
0100200752X,01002000025
0100200753X,01002000025
0100200754X,01002000025
0100200755X,01002000025
0100200756X,01002000025
0100200757X,01002000025
0100200758X,01002000025
0100200759X,01002000025
0100200760X,01002000025
0100200761X,01002000026
0100200762X,01002000026
0100200763X,01002000026
0100200764X,01002000026
0100200765X,01002000026
0100200766X,01002000026
0100200767X,01002000026
0100200768X,01002000026
0100200769X,01002000026
0100200770X,01002000026
0100200771X,01002000026
0100200772X,01002000026
0100200773X,01002000026
0100200774X,01002000026
0100200775X,01002000026
0100200776X,01002000026
0100200777X,01002000026
0100200778X,01002000026
0100200779X,01002000026
0100200780X,01002000026
0100200781X,01002000026
0100200782X,01002000026
0100200783X,01002000026
0100200784X,01002000026
0100200785X,01002000026
0100200786X,01002000026
0100200787X,01002000026
0100200788X,01002000026
0100200789X,01002000026
0100200790X,01002000026
0100200791X,01002000026
0100200792X,01002000026
0100200793X,01002000026
0100200794X,01002000026
0100200795X,01002000026
0100200796X,01002000026
0100200797X,01002000026
0100200798X,01002000026
0100200799X,01002000026
0100200800X,01002000026
0100200801X,01002000026
0100200802X,01002000026
0100200803X,01002000026
0100200804X,01002000026
0100200805X,01002000026
0100200806X,01002000026
0100200807X,01002000026
0100200808X,01002000026
0100200809X,01002000027
0100200810X,01002000027
0100200811X,01002000027
0100200812X,01002000027
0100200813X,01002000027
0100200814X,01002000027
0100200815X,01002000027
0100200816X,01002000027
0100200817X,01002000027
0100200818X,01002000027
0100200819X,01002000027
0100200820X,01002000027
0100200821X,01002000027
0100200822X,01002000027
0100200823X,01002000027
0100200824X,01002000027
0100200825X,01002000027
0100200826X,01002000027
0100200827X,01002000027
0100200828X,01002000027
0100200829X,01002000027
0100200830X,01002000027
0100200831X,01002000027
0100200832X,01002000027
0100200833X,01002000027
0100200834X,01002000027
0100200835X,01002000027
0100200836X,01002000027
0100200837X,01002000027
0100200838X,01002000027
0100200839X,01002000027
0100200840X,01002000027
0100200841X,01002000027
0100200842X,01002000027
0100200843X,01002000027
0100200844X,01002000027
0100200845X,01002000027
0100200846X,01002000028
0100200847X,01002000028
0100200848X,01002000028
0100200849X,01002000028
0100200850X,01002000028
0100200851X,01002000028
0100200852X,01002000028
0100200853X,01002000028
0100200854X,01002000028
0100200855X,01002000028
0100200856X,01002000028
0100200857X,01002000028
0100200858X,01002000028
0100200859X,01002000028
0100200860X,01002000028
0100200861X,01002000028
0100200862X,01002000028
0100200863X,01002000028
0100200864X,01002000028
0100200865X,01002000028
0100200866X,01002000028
0100200867X,01002000028
0100200868X,01002000028
0100200869X,01002000028
0100200870X,01002000028
0100200871X,01002000028
0100200872X,01002000028
0100200873X,01002000028
0100200874X,01002000028
0100200875X,01002000028
0100200876X,01002000028
0100200877X,01002000028
0100200878X,01002000028
0100200879X,01002000028
0100200880X,01002000028
0100200881X,01002000028
0100200882X,01002000028
0100200883X,01002000028
0100200884X,01002000028
0100200885X,01002000028
0100200886X,01002000028
0100200887X,01002000028
0100200888X,01002000028
0100200889X,01002000028
0100200890X,01002000028
0100200891X,01002000028
0100200892X,01002000028
0100200893X,01002000028
0100200894X,01002000028
0100200895X,01002000028
0100200896X,01002000028
0100200897X,01002000028
0100200898X,01002000029
0100200899X,01002000029
0100200900X,01002000029
