MUNI;label
140350217;DEL CAMPILLO
140350224;HUINCA RENANCO
140350231;ITALO
140350238;JOVITA
140350245;MATTALDI
140350252;VILLA HUIDOBRO
140350259;VILLA VALERIA
140352224;NICOLAS BRUZZONE
140352231;ONAGOITY
140352238;PINCEN
140352245;RANQUELES
140352252;VILLA SARMIENTO (G. R.)
140420000;ZONA RURAL
140420266;ARROYO ALGODON
140420273;ARROYO CABRAL
140420280;AUSONIA
140420287;CHAZON
140420294;ETRURIA
140420301;LA LAGUNA
140420308;LA PALESTINA
140420315;LA PLAYOSA
140420322;LUCA
140420329;PASCO
140420336;SILVIO PELLICO
140420343;TICINO
140420350;TIO PUJIO
140420357;VILLA MARIA
140420364;VILLA NUEVA
140490000;ZONA RURAL
140490371;DEAN FUNES
140490378;QUILINO
140492259;AVELLANEDA
140492266;CAÑADA DE RIO PINTO
140492273;CHUÑA
140492280;COPACABANA
140492287;LOS POZOS
140492294;OLIVARES DE SAN NICOLAS
140492301;VILLA GUTIERREZ
140560000;ZONA RURAL
140560385;ALEJANDRO ROCA
140560392;BENGOLEA
140560399;CARNERILLO
140560406;CHARRAS
140560413;GENERAL CABRERA
140560420;GENERAL DEHEZA
140560427;HUANCHILLA
140560434;LA CARLOTA
140560441;LOS CISNES
140560448;OLAETA
140560455;REDUCCION
140560462;SANTA EUFEMIA
140560469;UCACHA
140562308;ASSUNTA
140562315;EL RASTREADOR
140562322;PACHECO DE MELO
140562329;PASO DEL DURAZNO
140630000;ZONA RURAL
140630476;ALEJO LEDESMA
140630483;ARIAS
140630490;CAMILO ALDAO
140630497;CAPITAN GENERAL BERNARDO O HIGGINS
140630504;CAVANAGH
140630511;COLONIA ITALIANA
140630518;CORRAL DE BUSTOS
140630525;CRUZ ALTA
140630532;GENERAL BALDISSERA
140630539;GENERAL ROCA
140630546;GUATIMOZIN
140630553;INRIVILLE
140630560;ISLA VERDE
140630567;LEONES
140630574;LOS SURGENTES
140630581;MARCOS JUAREZ
140630588;MONTE BUEY
140630595;SAIRA
140632336;COLONIA BARGE
140632343;SALADILLO
140632350;VILLA ELISA
140700000;ZONA RURAL
140700602;SAN CARLOS MINAS
140702357;CIENAGA DEL CORO
140702364;EL CHACHO
140702371;ESTANCIA DE GUADALUPE
140702378;GUASAPAMPA
140702385;LA PLAYA
140702392;TALAINI
140702399;TOSNO
140770000;ZONA RURAL
140770609;SALSACATE
140772406;CHANCANI
140772413;LAS PALMAS
140772420;LOS TALARES
140772427;SAN GERONIMO
140772434;TALA CAÑADA
140772441;VILLA DE POCHO
140840000;ZONA RURAL
140840616;GENERAL LEVALLE
140840623;LA CESIRA
140840630;LABOULAYE
140840637;MELO
140840644;ROSALES
140840651;SERRANO
140840658;VILLA ROSSI
140842448;LEGUIZAMON
140842455;RIOBAMBA
140842462;SAN JOAQUIN
140910000;ZONA RURAL
140910665;BIALET MASSE
140910672;CAPILLA DEL MONTE
140910679;COSQUIN
140910686;HUERTA GRANDE
140910693;LA CUMBRE
140910700;LA FALDA
140910707;LOS COCOS
140910714;SAN ESTEBAN
140910721;SANTA MARIA DE PUNILLA
140910728;TANTI
140910735;VALLE HERMOSO
140910742;VILLA CARLOS PAZ
140910749;VILLA GIARDINO
140912469;CABALANGO
140912476;CASA GRANDE
140912483;CHARBONIER
140912490;CUESTA BLANCA
140912497;ESTANCIA VIEJA
140912504;MAYU SUMAJ
140912511;SAN ANTONIO DE ARREDONDO
140912518;SAN ROQUE
140912525;TALA HUASI
140912532;VILLA PARQUE SIQUIMAN
140912539;VILLA SANTA CRUZ DEL LAGO
140912546;VILLA RIO ICHO CRUZ
140980000;ZONA RURAL
140980756;ACHIRAS
140980763;ADELIA MARIA
140980770;ALCIRA
140980777;ALPA CORRAL
140980784;BERROTARAN
140980791;BULNES
140980798;CHAJAN
140980805;CORONEL BAIGORRIA
140980812;CORONEL MOLDES
140980819;ELENA
140980826;LA CAUTIVA
140980833;LAS ACEQUIAS
140980840;LAS HIGUERAS
140980847;LAS VERTIENTES
140980854;MONTE DE LOS GAUCHOS
140980861;RIO CUARTO
140980868;SAMPACHO
140980875;SAN BASILIO
140980882;SANTA CATALINA
140980889;TOSQUITA
140980896;VICUÑA MACKENNA
140982329;PASO DEL DURAZNO
140982553;CHUCUL
140982560;LA CAROLINA EL POTOSI
140982567;LAS ALBAHACAS
140982574;LAS PEÑAS SUD
140982581;MALENA
140982588;SUCO
140982595;VILLA EL CHACAY
140982602;WASHINGTON
141050000;ZONA RURAL
141050903;LA PARA
141050910;LA PUERTA
141050917;MONTE CRISTO
141050924;OBISPO TREJO
141050931;PIQUILLIN
141050938;RIO PRIMERO
141050945;SANTA ROSA DE RIO PRIMERO
141050952;VILLA FONTANA
141052609;ATAHONA
141052616;CAÑADA DE MACHADO
141052623;CAPILLA DE LOS REMEDIOS
141052630;CHALACEA
141052637;COLONIA LAS CUATRO ESQUINAS
141052644;COMECHINGONES
141052651;DIEGO DE ROJAS
141052658;EL CRISPIN
141052665;ESQUINA
141052672;KILOMETRO 658
141052679;LA POSTA
141052686;LA QUINTA
141052693;LAS GRAMILLAS
141052700;LAS SALADAS
141052707;MAQUINISTA GALLINI
141052714;PLAZA DE MERCEDES
141052721;SAGRADA FAMILIA
141120000;ZONA RURAL
141120959;SEBASTIAN ELCANO
141120966;VILLA DE MARIA
141122735;CERRO COLORADO
141122742;CHAÑAR VIEJO
141122749;EUFRACIO LOZA
141122756;GUTEMBERG
141122763;LA RINCONADA
141122770;LOS HOYOS
141122777;PUESTO DE CASTRO
141122784;RAYO CORTADO
141122791;SANTA ELENA
141122798;VILLA CANDELARIA NORTE
141190000;ZONA RURAL
141190973;CALCHIN
141190980;CALCHIN OESTE
141190987;CAPILLA DEL CARMEN
141190994;CARRILOBO
141191001;COLAZO
141191008;COSTASACATE
141191015;LAGUNA LARGA
141191022;LAS JUNTURAS
141191029;LUQUE
141191036;MANFREDI
141191043;MATORRALES
141191050;ONCATIVO
141191057;PILAR
141191064;POZO DEL MOLLE
141191071;RIO SEGUNDO
141191078;SANTIAGO TEMPLE
141191085;VILLA DEL ROSARIO
141192805;COLONIA VIDELA
141192812;IMPIRA
141192819;LOS CHAÑARITOS
141192826;RINCON
141260000;ZONA RURAL
141261092;MINA CLAVERO
141261099;NONO
141261106;SAN PEDRO
141261113;VILLA CURA BROCHERO
141261120;VILLA SARMIENTO (S. A.)
141262833;AMBUL
141262840;ARROYO LOS PATOS
141262847;LAS CALLES
141262854;LAS RABONAS
141262861;PANAHOLMA
141262868;SAN LORENZO
141262875;SAN VICENTE
141262882;SAUCE ARRIBA
141330000;ZONA RURAL
141331127;LA PAZ
141331134;SAN JAVIER Y YACANTO
141331141;SAN JOSE
141331148;VILLA DE LAS ROSAS
141331155;VILLA DOLORES
141332889;CONLARA
141332896;LA POBLACION
141332903;LAS TAPIAS
141332910;LOS CERRILLOS
141332917;LOS HORNILLOS
141332924;LUYABA
141400000;ZONA RURAL
141401162;ALICIA
141401169;ALTOS DE CHIPION
141401176;ARROYITO
141401183;BALNEARIA
141401190;BRINKMANN
141401197;COLONIA MARINA
141401204;COLONIA PROSPERIDAD
141401211;COLONIA SAN BARTOLOME
141401218;COLONIA VIGNAUD
141401225;DEVOTO
141401232;EL ARAÑADO
141401239;EL FORTIN
141401246;EL TIO
141401253;FREYRE
141401260;LA FRANCIA
141401267;LA PAQUITA
141401274;LA TORDILLA
141401281;LAS VARAS
141401288;LAS VARILLAS
141401295;MARULL
141401302;MIRAMAR
141401309;MORTEROS
141401316;PORTEÑA
141401323;QUEBRACHO HERRADO
141401330;SACANTA
141401337;SAN FRANCISCO
141401344;SATURNINO MARIA LASPIUR
141401351;SEEBER
141401358;TRANSITO
